cell,method,process,repetition,query_seconds,output_count,output_sha256,peak_allocated_bytes,peak_reserved_bytes,output_finalize_seconds,batches
k16,project64,0,3,0.04394064599182457,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,625788928,656408576,0.0014518800016958266,67
k16,packed16,0,0,0.0364734290051274,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,680314368,719323136,0.0014454690099228173,35
k16,packed16,0,1,0.03634706200682558,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,680314368,719323136,0.0014161439903546125,35
k16,packed16,0,2,0.0370765519910492,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,680314368,719323136,0.001422173998435028,35
k16,packed16,0,3,0.03608842600078788,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,680314368,719323136,0.0013902139908168465,35
k16,sequential,0,0,0.0505127829965204,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015254519967129454,108
k16,sequential,0,1,0.050276380992727354,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.00150556699372828,108
k16,sequential,0,2,0.050189233996206895,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015304389962693676,108
k16,sequential,0,3,0.050159160993644036,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015183899959083647,108
k16,pipeline,0,0,0.05679670900281053,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015630800044164062,108
k16,pipeline,0,1,0.05635008600074798,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.00153820299601648,108
k16,pipeline,0,2,0.05630472999473568,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.001522862003184855,108
k16,pipeline,0,3,0.056142197994631715,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015289939910871908,108
k16,draft_serial,0,0,0.05446792099974118,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015349210007116199,108
k16,draft_serial,0,1,0.052130537005723454,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015098269941518083,108
k16,draft_serial,0,2,0.051992285007145256,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015179239999270067,108
k16,draft_serial,0,3,0.053542358000413515,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.001513864001026377,108
k16,speculative,0,0,0.0579565520019969,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015461570001207292,108
k16,speculative,0,1,0.05827812400821131,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015473399980692193,108
k16,speculative,0,2,0.057887671995558776,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.0015266130067175254,108
k16,speculative,0,3,0.058362384006613865,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,634702336,666894336,0.001549299995531328,108
k64,original_full,0,0,0.06595706999360118,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,694363648,742391808,0.011314212009892799,108
k64,original_full,0,1,0.058913203989504836,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,694363648,742391808,0.004179031995590776,108
k64,original_full,0,2,0.05904227899736725,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,694363648,742391808,0.004251430989825167,108
k64,original_full,0,3,0.05850412200379651,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,694363648,742391808,0.004167437989963219,108
k64,project64,0,0,0.05160886299563572,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,695290368,734003200,0.004256692001945339,78
k64,project64,0,1,0.05269486899487674,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,695290368,734003200,0.004193177999695763,78
