layout,size,cell,threshold,family,blocks,pairs,positive_pairs,oracle_empty_blocks,oracle_full_blocks,oracle_resolved_fraction,rejected_blocks,accepted_blocks,resolved_fraction,resolved_pair_fraction,rejected_pairs,accepted_pairs,empty_block_recall,ordering_seconds,pivot_preprocessing_seconds,metadata_seconds,bound_seconds,false_reject_blocks,false_accept_blocks
original,128,k64,0.39460235834121704,combined,110215,1800030000,1961499,16,0,0.00014517080252234268,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.8815461729827803,0,0
original,128,original,0.3955230712890625,box,110215,1800030000,1993039,13,0,0.00011795127704940343,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.7006015929946443,0,0
original,128,original,0.3955230712890625,sphere,110215,1800030000,1993039,13,0,0.00011795127704940343,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.14863328699721023,0,0
original,128,original,0.3955230712890625,pivot,110215,1800030000,1993039,13,0,0.00011795127704940343,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.031369049989734776,0,0
original,128,original,0.3955230712890625,combined,110215,1800030000,1993039,13,0,0.00011795127704940343,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.8815461729827803,0,0
original,128,k256,0.4787180423736572,box,110215,1800030000,7744714,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.7006015929946443,0,0
original,128,k256,0.4787180423736572,sphere,110215,1800030000,7744714,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.14863328699721023,0,0
original,128,k256,0.4787180423736572,pivot,110215,1800030000,7744714,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.031369049989734776,0,0
original,128,k256,0.4787180423736572,combined,110215,1800030000,7744714,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.8815461729827803,0,0
original,128,k1024,0.5802154541015625,box,110215,1800030000,30759403,0,0,0.0,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.1164393840008415,0.7006015929946443,0,0
