process,repeat,cell,method,mode,seconds,executed_tiles,batches,output_sha256
1,1,k1024,F16,layout_full,0.3449423959973501,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,1,k1024,F16,original_full,0.34578756599512417,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,1,k1024,F16,geometric,0.3441155000036815,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,1,k1024,F8,layout_full,0.38238772700424306,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,1,k1024,F8,original_full,0.38576101198850665,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,1,k1024,F8,geometric,0.38415738999901805,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,2,k1024,F8,original_full,0.38147538200428244,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,2,k1024,F8,layout_full,0.38119581100181676,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,2,k1024,F8,geometric,0.37856259000545833,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,2,k1024,F16,original_full,0.3458983159944182,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,2,k1024,F16,layout_full,0.34419131401227787,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,2,k1024,F16,geometric,0.3432839529996272,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,3,k1024,F16,original_full,0.34560488200804684,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
1,3,k1024,F16,geometric,0.3920199669955764,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
